"Trips Synthetic business records. SRC-D-3. Trip/permit revisions are independent of claim revisions. Blank first commitment means none yet. Trip reference","Employee ID","Destination","International","Start date","End date","First commitment date","Estimate (EUR)","Business purpose","Client","Schedule coverage","Alternatives considered","Permit reference","Trip revision","Permit revision"
"T01","EMP-01","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T02","EMP-01","US","TRUE","2026-09-02","2026-09-05","2026-09-01","1,100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","P02","1","1"
"T03","EMP-01","NL","FALSE","2026-12-08","2026-12-10","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T04","EMP-02","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T05","EMP-01","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T06","EMP-01","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T07","EMP-01","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T08","EMP-01","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T09","EMP-01","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T10","EMP-01","US","TRUE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","P10","1","1"
"T11","EMP-01","NL","FALSE","2026-06-29","2026-07-01","2026-06-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T12","EMP-01","NL","FALSE","2026-06-29","2026-07-01","2026-06-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T13","EMP-01","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T14","EMP-01","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T15","EMP-01","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T16","EMP-01","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T17","EMP-01","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T18","EMP-01","NL","FALSE","2026-10-02","2026-10-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T19","EMP-01","NL","FALSE","2026-10-02","2026-10-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
