claim_id,revision,trip_id,status,allowed_cents,paid_cents,balance_cents,next_owner,reason
C01,1,T01,closed-reimbursed,10000,10000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C02,1,T02,closed-reimbursed,54000,54000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C03,1,T03,closed-reimbursed,20000,20000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C04,1,T04,closed-reimbursed,10000,10000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C05,1,T05,closed-reimbursed,100000,100000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C06,1,T06,closed-reimbursed,100001,100001,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C07,1,T07,closed-reimbursed,30000,30000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C08,1,T08,held,,0,,EMP-01,"Held on: review_missing, unresolved_line."
C09,2,T09B,closed-reimbursed,8000,8000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C10,1,T10,held,9000,0,9000,ADMIN-01,Held on: review_missing.
C11,1,T11,closed-reimbursed,6000,6000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C12,2,T12,closed-reimbursed,7000,7000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C13,1,T13,withdrawn,5000,0,5000,,Clean withdrawal by the employee; closed with an explicit non-payment reason.
C14,1,T14,rejected,4000,0,4000,,Rejected by budget_owner; closed with an explicit non-payment reason.
C15,1,T15,held,0,0,0,ADMIN-01,Held on: review_missing.
C16,1,T16,closed-reimbursed,10000,10000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C17,1,T17,closed-reimbursed,10000,10000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C18,2,T18B,held,10000,10000,0,ADMIN-01,"Held on: review_missing, transfer_after_cancellation."
C19,3,T19,closed-reimbursed,8000,8000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C20,1,T20,closed-reimbursed,10000,10000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C21,1,T21,held,8000,0,8000,ADMIN-01,Held on: review_return.
C22,1,T22,held,,0,,FIN-01,"Held on: review_missing, unresolved_line."
C23,1,T23,held,,0,,FIN-01,"Held on: review_missing, unresolved_line."
C24,1,T03,closed-reimbursed,5000,5000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C25,1,T25,held,10000,0,10000,ADMIN-01,"Held on: permit_unapproved, review_missing."
