claim_id,revision,trip_id,status,allowed_cents,paid_cents,balance_cents,next_owner,reason
C01,1,T01,pending,10000,0,10000,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C02,1,T02,pending,54000,0,54000,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C03,1,T03,pending,20000,0,20000,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C04,1,T04,pending,10000,0,10000,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C05,1,T05,pending,100000,0,100000,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C06,1,T06,pending,100001,0,100001,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C07,1,T07,pending,30000,0,30000,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C08,1,T08,held,,0,,EMP-01,"Held on: review_missing, unresolved_line."
C09,1,T09,held,8000,0,8000,ADMIN-01,Held on: review_return.
C10,1,T10,held,9000,0,9000,ADMIN-01,Held on: review_missing.
C11,1,T11,pending,6000,0,6000,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C12,1,T12,held,7000,0,7000,FIN-01,"Held on: late_filing, review_missing."
C13,1,T13,withdrawn,5000,0,5000,,Clean withdrawal by the employee; closed with an explicit non-payment reason.
C14,1,T14,rejected,4000,0,4000,,Rejected by budget_owner; closed with an explicit non-payment reason.
C15,1,T15,held,0,0,0,ADMIN-01,Held on: review_missing.
C16,1,T16,pending,10000,0,10000,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C17,1,T17,pending,10000,0,10000,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C18,1,T18,pending,10000,0,10000,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C19,1,T19,pending,10000,0,10000,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C20,1,T20,pending,10000,0,10000,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C21,1,T21,held,8000,0,8000,ADMIN-01,Held on: review_return.
C22,1,T22,held,,0,,FIN-01,"Held on: review_missing, unresolved_line."
C23,1,T23,held,,0,,ADMIN-01,"Held on: review_missing, unresolved_line."
C25,1,T25,held,10000,0,10000,ADMIN-01,"Held on: permit_unapproved, review_missing."
C26,1,T26,held,10000,0,10000,ADMIN-01,Held on: review_missing.
C27,1,T27,pending,3500,0,3500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C28,1,T28,pending,4500,0,4500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C29,1,T29,pending,5500,0,5500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C30,1,T30,pending,6500,0,6500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C31,1,T31,pending,7500,0,7500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C32,1,T32,pending,8500,0,8500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C33,1,T33,pending,3500,0,3500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C34,1,T34,pending,4500,0,4500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C35,1,T35,pending,5500,0,5500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C36,1,T36,pending,6500,0,6500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C37,1,T37,pending,7500,0,7500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C38,1,T38,pending,8500,0,8500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C39,1,T39,pending,3500,0,3500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C40,1,T40,pending,4500,0,4500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C41,1,T41,pending,5500,0,5500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C42,1,T42,pending,6500,0,6500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C43,1,T43,pending,7500,0,7500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C44,1,T44,pending,8500,0,8500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C45,1,T45,pending,3500,0,3500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C46,1,T46,pending,4500,0,4500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C47,1,T47,pending,5500,0,5500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C48,1,T48,pending,6500,0,6500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C49,1,T49,pending,7500,0,7500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C50,1,T50,pending,8500,0,8500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C51,1,T51,pending,3500,0,3500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C52,1,T52,pending,4500,0,4500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C53,1,T53,pending,5500,0,5500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C54,1,T54,pending,6500,0,6500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C55,1,T55,pending,7500,0,7500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C56,1,T56,pending,8500,0,8500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C57,1,T57,pending,3500,0,3500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C58,1,T58,pending,4500,0,4500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
