"Review packets Synthetic business records. SRC-D-3. Ordered references appear on separate lines. Empty optional entries are blank. Review packets preserve the facts seen at the time. Decision reference","Employee ID","Trip reference","Business purpose","Client","Schedule coverage","Alternatives considered","Permit reference","Expense references","Policy revision","Budget record references","Reviewed estimate (EUR)","Budget owner position","Trip revision","Permit revision","Travel cancellation references"
"D-C01-1-claim-administration-1","EMP-01","T01","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-01","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C01-1-claim-budget_owner-1","EMP-01","T01","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-01","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C01-1-claim-supervisor-1","EMP-01","T01","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-01","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C02-1-permit-administration-1","EMP-01","T02","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","P02","COST-02","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","1,100.00","Approved","1","1",""
"D-C02-1-permit-budget_owner-1","EMP-01","T02","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","P02","COST-02","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","1,100.00","Approved","1","1",""
"D-C02-1-permit-supervisor-1","EMP-01","T02","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","P02","COST-02","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","1,100.00","Approved","1","1",""
"D-C02-1-permit-director-1","EMP-01","T02","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","P02","COST-02","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","1,100.00","Approved","1","1",""
"D-C02-1-claim-administration-1","EMP-01","T02","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","P02","COST-02","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","1",""
"D-C02-1-claim-budget_owner-1","EMP-01","T02","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","P02","COST-02","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","1",""
"D-C02-1-claim-supervisor-1","EMP-01","T02","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","P02","COST-02","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","1",""
"D-C03-1-claim-administration-1","EMP-01","T03","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-03","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C03-1-claim-budget_owner-1","EMP-01","T03","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-03","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C03-1-claim-supervisor-1","EMP-01","T03","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-03","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C04-1-claim-administration-1","EMP-02","T04","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-04","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C04-1-claim-budget_owner-supervisor-1","EMP-02","T04","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-04","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C05-1-claim-administration-1","EMP-01","T05","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-05","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C05-1-claim-budget_owner-1","EMP-01","T05","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-05","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C05-1-claim-supervisor-1","EMP-01","T05","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-05","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C06-1-claim-administration-1","EMP-01","T06","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-06","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C06-1-claim-budget_owner-1","EMP-01","T06","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-06","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C06-1-claim-supervisor-1","EMP-01","T06","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-06","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C06-1-claim-director-1","EMP-01","T06","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-06","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C07-1-claim-administration-1","EMP-01","T07","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-07","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C07-1-claim-budget_owner-1","EMP-01","T07","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-07","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C07-1-claim-supervisor-1","EMP-01","T07","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-07","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C09-1-claim-administration-1","EMP-01","T09","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-09","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C09-1-claim-budget_owner-1","EMP-01","T09","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-09","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Please supply the revised trip evidence.","1","",""
"D-C10-1-permit-administration-1","EMP-01","T10","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","P10","COST-10","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","100.00","Approved","1","1",""
"D-C10-1-permit-budget_owner-1","EMP-01","T10","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","P10","COST-10","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","100.00","Approved","1","1",""
"D-C10-1-permit-supervisor-1","EMP-01","T10","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","P10","COST-10","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","100.00","Approved","1","1",""
"D-C11-1-claim-administration-1","EMP-01","T11","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-11","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C11-1-claim-budget_owner-1","EMP-01","T11","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-11","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C11-1-claim-supervisor-1","EMP-01","T11","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-11","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C14-1-claim-administration-1","EMP-01","T14","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-14","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C14-1-claim-budget_owner-1","EMP-01","T14","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-14","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Client work was cancelled.","1","",""
"D-C16-1-claim-administration-1","EMP-01","T16","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-16","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C16-1-claim-budget_owner-1","EMP-01","T16","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-16","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C16-1-claim-supervisor-1","EMP-01","T16","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-16","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C17-1-claim-administration-1","EMP-01","T17","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-17","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C17-1-claim-budget_owner-1","EMP-01","T17","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-17","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C17-1-claim-supervisor-1","EMP-01","T17","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-17","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C18-1-claim-administration-1","EMP-01","T18","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-18","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C18-1-claim-budget_owner-1","EMP-01","T18","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-18","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C18-1-claim-supervisor-1","EMP-01","T18","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-18","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C19-1-claim-administration-1","EMP-01","T19","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-19","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C19-1-claim-budget_owner-1","EMP-01","T19","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-19","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C19-1-claim-supervisor-1","EMP-01","T19","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-19","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C20-1-claim-administration-1","EMP-01","T20","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-20","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C20-1-claim-budget_owner-1","EMP-01","T20","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-20","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C20-1-claim-supervisor-1","EMP-01","T20","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-20","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C21-1-claim-administration-1","EMP-01","T21","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-21","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C21-1-claim-budget_owner-1","EMP-01","T21","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-21","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Budget owner requests a funding review before committing.","1","",""
"D-C09-2-claim-administration-3","EMP-01","T09B","Replacement client workshop","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-09B","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C09-2-claim-budget_owner-3","EMP-01","T09B","Replacement client workshop","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-09B","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C09-2-claim-supervisor-3","EMP-01","T09B","Replacement client workshop","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-09B","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C19-2-claim-administration-3","EMP-01","T19","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-19","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C19-2-claim-budget_owner-3","EMP-01","T19","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-19","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C19-2-claim-supervisor-3","EMP-01","T19","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-19","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C24-1-claim-administration-3","EMP-01","T03","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-03
COST-24","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C24-1-claim-budget_owner-3","EMP-01","T03","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-03
COST-24","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C24-1-claim-supervisor-3","EMP-01","T03","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-03
COST-24","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C12-2-claim-administration-3","EMP-01","T12","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-12","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C12-2-claim-budget_owner-3","EMP-01","T12","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-12","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C12-2-claim-supervisor-3","EMP-01","T12","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-12","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C27-1-claim-administration-1","EMP-03","T27","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-27-1
COST-27-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C27-1-claim-budget_owner-1","EMP-03","T27","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-27-1
COST-27-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C27-1-claim-supervisor-1","EMP-03","T27","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-27-1
COST-27-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C28-1-claim-administration-1","EMP-03","T28","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-28-1
COST-28-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C28-1-claim-budget_owner-1","EMP-03","T28","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-28-1
COST-28-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C28-1-claim-supervisor-1","EMP-03","T28","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-28-1
COST-28-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C29-1-claim-administration-1","EMP-03","T29","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-29-1
COST-29-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C29-1-claim-budget_owner-1","EMP-03","T29","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-29-1
COST-29-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C29-1-claim-supervisor-1","EMP-03","T29","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-29-1
COST-29-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C30-1-claim-administration-1","EMP-03","T30","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-30-1
COST-30-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C30-1-claim-budget_owner-1","EMP-03","T30","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-30-1
COST-30-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C30-1-claim-supervisor-1","EMP-03","T30","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-30-1
COST-30-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C31-1-claim-administration-1","EMP-03","T31","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-31-1
COST-31-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C31-1-claim-budget_owner-1","EMP-03","T31","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-31-1
COST-31-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C31-1-claim-supervisor-1","EMP-03","T31","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-31-1
COST-31-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C32-1-claim-administration-1","EMP-03","T32","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-32-1
COST-32-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
