"Merchant payments Synthetic business records. SRC-D-3. Dates are local calendar dates. Amounts follow the stated currency. Empty optional entries are blank. Transaction reference","Expense reference","Employee ID","Trip reference","Currency","Gross amount","Paid date","Payment status","Receipt reference"
"M-COST-01","COST-01","EMP-01","T01","EUR","100.00","2026-09-01","settled","R-COST-01"
"M-COST-02","COST-02","EMP-01","T02","USD","600.00","2026-09-01","settled","R-COST-02"
"M-COST-03","COST-03","EMP-01","T03","EUR","200.00","2026-09-01","settled","R-COST-03"
"M-COST-04","COST-04","EMP-02","T04","EUR","100.00","2026-09-01","settled","R-COST-04"
"M-COST-05","COST-05","EMP-01","T05","EUR","1000.00","2026-09-01","settled","R-COST-05"
"M-COST-06","COST-06","EMP-01","T06","EUR","1000.01","2026-09-01","settled","R-COST-06"
"M-COST-07","COST-07","EMP-01","T07","EUR","360.00","2026-09-01","settled","R-COST-07"
"M-COST-09","COST-09","EMP-01","T09","EUR","80.00","2026-09-01","settled","R-COST-09"
"M-COST-10","COST-10","EMP-01","T10","EUR","90.00","2026-09-01","settled","R-COST-10"
"M-COST-11","COST-11","EMP-01","T11","EUR","60.00","2026-09-01","settled","R-COST-11"
"M-COST-12","COST-12","EMP-01","T12","EUR","70.00","2026-09-01","settled","R-COST-12"
"M-COST-13","COST-13","EMP-01","T13","EUR","50.00","2026-09-01","settled","R-COST-13"
"M-COST-14","COST-14","EMP-01","T14","EUR","40.00","2026-09-01","settled","R-COST-14"
"M-COST-15","COST-15","EMP-01","T15","EUR","30.00","2026-09-01","settled","R-COST-15"
"M-COST-16","COST-16","EMP-01","T16","EUR","100.00","2026-09-01","settled","R-COST-16"
"M-COST-17","COST-17","EMP-01","T17","EUR","100.00","2026-09-01","settled","R-COST-17"
"M-COST-18","COST-18","EMP-01","T18","EUR","100.00","2026-09-01","settled","R-COST-18"
"M-COST-19","COST-19","EMP-01","T19","EUR","100.00","2026-09-01","settled","R-COST-19"
"M-COST-20","COST-20","EMP-01","T20","EUR","100.00","2026-09-01","settled","R-COST-20"
"M-COST-21","COST-21","EMP-01","T21","EUR","80.00","2026-09-01","settled","R-COST-21"
"M-COST-22","COST-22","EMP-01","T22","GBP","45.00","2026-09-01","settled","R-COST-22"
"M-COST-23","COST-23","EMP-01","T23","EUR","170.00","2026-09-01","settled","R-COST-23"
"M-COST-09B","COST-09B","EMP-01","T09B","EUR","80.00","2026-09-01","settled","R-COST-09B"
"M-COST-24","COST-24","EMP-01","T03","EUR","50.00","2026-09-01","settled","R-COST-24"
"M-COST-18B","COST-18B","EMP-01","T18B","EUR","100.00","2026-09-01","settled","R-COST-18B"
"M-COST-25","COST-25","EMP-01","T25","EUR","100.00","2026-09-01","settled","R-COST-25"
"M-COST-26","COST-26","EMP-01","T26","EUR","100.00","2026-09-01","settled","R-COST-26"
"M-COST-27-1","COST-27-1","EMP-03","T27","EUR","20.00","2026-09-01","settled","R-COST-27-1"
"M-COST-27-2","COST-27-2","EMP-03","T27","EUR","15.00","2026-09-01","settled","R-COST-27-2"
"M-COST-28-1","COST-28-1","EMP-03","T28","EUR","25.00","2026-09-01","settled","R-COST-28-1"
"M-COST-28-2","COST-28-2","EMP-03","T28","EUR","20.00","2026-09-01","settled","R-COST-28-2"
"M-COST-29-1","COST-29-1","EMP-03","T29","EUR","40.00","2026-09-01","settled","R-COST-29-1"
"M-COST-29-2","COST-29-2","EMP-03","T29","EUR","15.00","2026-09-01","settled","R-COST-29-2"
"M-COST-30-1","COST-30-1","EMP-03","T30","EUR","35.00","2026-09-01","settled","R-COST-30-1"
"M-COST-30-2","COST-30-2","EMP-03","T30","EUR","30.00","2026-09-01","settled","R-COST-30-2"
"M-COST-31-1","COST-31-1","EMP-03","T31","EUR","60.00","2026-09-01","settled","R-COST-31-1"
"M-COST-31-2","COST-31-2","EMP-03","T31","EUR","15.00","2026-09-01","settled","R-COST-31-2"
"M-COST-32-1","COST-32-1","EMP-03","T32","EUR","50.00","2026-09-01","settled","R-COST-32-1"
"M-COST-32-2","COST-32-2","EMP-03","T32","EUR","35.00","2026-09-01","settled","R-COST-32-2"
"M-COST-33-1","COST-33-1","EMP-04","T33","EUR","20.00","2026-09-01","settled","R-COST-33-1"
"M-COST-33-2","COST-33-2","EMP-04","T33","EUR","15.00","2026-09-01","settled","R-COST-33-2"
"M-COST-34-1","COST-34-1","EMP-04","T34","EUR","25.00","2026-09-01","settled","R-COST-34-1"
"M-COST-34-2","COST-34-2","EMP-04","T34","EUR","20.00","2026-09-01","settled","R-COST-34-2"
"M-COST-35-1","COST-35-1","EMP-04","T35","EUR","40.00","2026-09-01","settled","R-COST-35-1"
"M-COST-35-2","COST-35-2","EMP-04","T35","EUR","15.00","2026-09-01","settled","R-COST-35-2"
"M-COST-36-1","COST-36-1","EMP-04","T36","EUR","35.00","2026-09-01","settled","R-COST-36-1"
"M-COST-36-2","COST-36-2","EMP-04","T36","EUR","30.00","2026-09-01","settled","R-COST-36-2"
"M-COST-37-1","COST-37-1","EMP-04","T37","EUR","60.00","2026-09-01","settled","R-COST-37-1"
"M-COST-37-2","COST-37-2","EMP-04","T37","EUR","15.00","2026-09-01","settled","R-COST-37-2"
"M-COST-38-1","COST-38-1","EMP-04","T38","EUR","50.00","2026-09-01","settled","R-COST-38-1"
"M-COST-38-2","COST-38-2","EMP-04","T38","EUR","35.00","2026-09-01","settled","R-COST-38-2"
"M-COST-39-1","COST-39-1","EMP-05","T39","EUR","20.00","2026-09-01","settled","R-COST-39-1"
"M-COST-39-2","COST-39-2","EMP-05","T39","EUR","15.00","2026-09-01","settled","R-COST-39-2"
"M-COST-40-1","COST-40-1","EMP-05","T40","EUR","25.00","2026-09-01","settled","R-COST-40-1"
"M-COST-40-2","COST-40-2","EMP-05","T40","EUR","20.00","2026-09-01","settled","R-COST-40-2"
"M-COST-41-1","COST-41-1","EMP-05","T41","EUR","40.00","2026-09-01","settled","R-COST-41-1"
"M-COST-41-2","COST-41-2","EMP-05","T41","EUR","15.00","2026-09-01","settled","R-COST-41-2"
"M-COST-42-1","COST-42-1","EMP-05","T42","EUR","35.00","2026-09-01","settled","R-COST-42-1"
"M-COST-42-2","COST-42-2","EMP-05","T42","EUR","30.00","2026-09-01","settled","R-COST-42-2"
"M-COST-43-1","COST-43-1","EMP-05","T43","EUR","60.00","2026-09-01","settled","R-COST-43-1"
"M-COST-43-2","COST-43-2","EMP-05","T43","EUR","15.00","2026-09-01","settled","R-COST-43-2"
"M-COST-44-1","COST-44-1","EMP-05","T44","EUR","50.00","2026-09-01","settled","R-COST-44-1"
"M-COST-44-2","COST-44-2","EMP-05","T44","EUR","35.00","2026-09-01","settled","R-COST-44-2"
"M-COST-45-1","COST-45-1","EMP-06","T45","EUR","20.00","2026-09-01","settled","R-COST-45-1"
"M-COST-45-2","COST-45-2","EMP-06","T45","EUR","15.00","2026-09-01","settled","R-COST-45-2"
"M-COST-46-1","COST-46-1","EMP-06","T46","EUR","25.00","2026-09-01","settled","R-COST-46-1"
"M-COST-46-2","COST-46-2","EMP-06","T46","EUR","20.00","2026-09-01","settled","R-COST-46-2"
"M-COST-47-1","COST-47-1","EMP-06","T47","EUR","40.00","2026-09-01","settled","R-COST-47-1"
"M-COST-47-2","COST-47-2","EMP-06","T47","EUR","15.00","2026-09-01","settled","R-COST-47-2"
"M-COST-48-1","COST-48-1","EMP-06","T48","EUR","35.00","2026-09-01","settled","R-COST-48-1"
"M-COST-48-2","COST-48-2","EMP-06","T48","EUR","30.00","2026-09-01","settled","R-COST-48-2"
"M-COST-49-1","COST-49-1","EMP-06","T49","EUR","60.00","2026-09-01","settled","R-COST-49-1"
"M-COST-49-2","COST-49-2","EMP-06","T49","EUR","15.00","2026-09-01","settled","R-COST-49-2"
"M-COST-50-1","COST-50-1","EMP-06","T50","EUR","50.00","2026-09-01","settled","R-COST-50-1"
"M-COST-50-2","COST-50-2","EMP-06","T50","EUR","35.00","2026-09-01","settled","R-COST-50-2"
"M-COST-51-1","COST-51-1","EMP-07","T51","EUR","20.00","2026-09-01","settled","R-COST-51-1"
"M-COST-51-2","COST-51-2","EMP-07","T51","EUR","15.00","2026-09-01","settled","R-COST-51-2"
"M-COST-52-1","COST-52-1","EMP-07","T52","EUR","25.00","2026-09-01","settled","R-COST-52-1"
"M-COST-52-2","COST-52-2","EMP-07","T52","EUR","20.00","2026-09-01","settled","R-COST-52-2"
"M-COST-53-1","COST-53-1","EMP-07","T53","EUR","40.00","2026-09-01","settled","R-COST-53-1"
"M-COST-53-2","COST-53-2","EMP-07","T53","EUR","15.00","2026-09-01","settled","R-COST-53-2"
"M-COST-54-1","COST-54-1","EMP-07","T54","EUR","35.00","2026-09-01","settled","R-COST-54-1"
"M-COST-54-2","COST-54-2","EMP-07","T54","EUR","30.00","2026-09-01","settled","R-COST-54-2"
"M-COST-55-1","COST-55-1","EMP-07","T55","EUR","60.00","2026-09-01","settled","R-COST-55-1"
"M-COST-55-2","COST-55-2","EMP-07","T55","EUR","15.00","2026-09-01","settled","R-COST-55-2"
"M-COST-56-1","COST-56-1","EMP-07","T56","EUR","50.00","2026-09-01","settled","R-COST-56-1"
"M-COST-56-2","COST-56-2","EMP-07","T56","EUR","35.00","2026-09-01","settled","R-COST-56-2"
"M-COST-57-1","COST-57-1","EMP-08","T57","EUR","20.00","2026-09-01","settled","R-COST-57-1"
"M-COST-57-2","COST-57-2","EMP-08","T57","EUR","15.00","2026-09-01","settled","R-COST-57-2"
"M-COST-58-1","COST-58-1","EMP-08","T58","EUR","25.00","2026-09-01","settled","R-COST-58-1"
"M-COST-58-2","COST-58-2","EMP-08","T58","EUR","20.00","2026-09-01","settled","R-COST-58-2"
"M-COST-59-1","COST-59-1","EMP-08","T59","EUR","40.00","2026-09-01","settled","R-COST-59-1"
"M-COST-59-2","COST-59-2","EMP-08","T59","EUR","15.00","2026-09-01","settled","R-COST-59-2"
"M-COST-60-1","COST-60-1","EMP-08","T60","EUR","35.00","2026-09-01","settled","R-COST-60-1"
"M-COST-60-2","COST-60-2","EMP-08","T60","EUR","30.00","2026-09-01","settled","R-COST-60-2"
"M-COST-61-1","COST-61-1","EMP-08","T61","EUR","60.00","2026-09-01","settled","R-COST-61-1"
"M-COST-61-2","COST-61-2","EMP-08","T61","EUR","15.00","2026-09-01","settled","R-COST-61-2"
"M-COST-62-1","COST-62-1","EMP-08","T62","EUR","50.00","2026-09-01","settled","R-COST-62-1"
"M-COST-62-2","COST-62-2","EMP-08","T62","EUR","35.00","2026-09-01","settled","R-COST-62-2"
"M-COST-63-1","COST-63-1","EMP-09","T63","EUR","20.00","2026-09-01","settled","R-COST-63-1"
"M-COST-63-2","COST-63-2","EMP-09","T63","EUR","15.00","2026-09-01","settled","R-COST-63-2"
"M-COST-64-1","COST-64-1","EMP-09","T64","EUR","25.00","2026-09-01","settled","R-COST-64-1"
"M-COST-64-2","COST-64-2","EMP-09","T64","EUR","20.00","2026-09-01","settled","R-COST-64-2"
"M-COST-65-1","COST-65-1","EMP-09","T65","EUR","40.00","2026-09-01","settled","R-COST-65-1"
"M-COST-65-2","COST-65-2","EMP-09","T65","EUR","15.00","2026-09-01","settled","R-COST-65-2"
"M-COST-66-1","COST-66-1","EMP-09","T66","EUR","35.00","2026-09-01","settled","R-COST-66-1"
"M-COST-66-2","COST-66-2","EMP-09","T66","EUR","30.00","2026-09-01","settled","R-COST-66-2"
"M-COST-67-1","COST-67-1","EMP-09","T67","EUR","60.00","2026-09-01","settled","R-COST-67-1"
"M-COST-67-2","COST-67-2","EMP-09","T67","EUR","15.00","2026-09-01","settled","R-COST-67-2"
"M-COST-68-1","COST-68-1","EMP-09","T68","EUR","50.00","2026-09-01","settled","R-COST-68-1"
"M-COST-68-2","COST-68-2","EMP-09","T68","EUR","35.00","2026-09-01","settled","R-COST-68-2"
"M-COST-69-1","COST-69-1","EMP-10","T69","EUR","20.00","2026-09-01","settled","R-COST-69-1"
"M-COST-69-2","COST-69-2","EMP-10","T69","EUR","15.00","2026-09-01","settled","R-COST-69-2"
"M-COST-70-1","COST-70-1","EMP-10","T70","EUR","25.00","2026-09-01","settled","R-COST-70-1"
"M-COST-70-2","COST-70-2","EMP-10","T70","EUR","20.00","2026-09-01","settled","R-COST-70-2"
"M-COST-71-1","COST-71-1","EMP-10","T71","EUR","40.00","2026-09-01","settled","R-COST-71-1"
"M-COST-71-2","COST-71-2","EMP-10","T71","EUR","15.00","2026-09-01","settled","R-COST-71-2"
"M-COST-72-1","COST-72-1","EMP-10","T72","EUR","35.00","2026-09-01","settled","R-COST-72-1"
"M-COST-72-2","COST-72-2","EMP-10","T72","EUR","30.00","2026-09-01","settled","R-COST-72-2"
"M-COST-73-1","COST-73-1","EMP-10","T73","EUR","60.00","2026-09-01","settled","R-COST-73-1"
"M-COST-73-2","COST-73-2","EMP-10","T73","EUR","15.00","2026-09-01","settled","R-COST-73-2"
"M-COST-74-1","COST-74-1","EMP-10","T74","EUR","50.00","2026-09-01","settled","R-COST-74-1"
"M-COST-74-2","COST-74-2","EMP-10","T74","EUR","35.00","2026-09-01","settled","R-COST-74-2"
"M-COST-75-1","COST-75-1","EMP-11","T75","EUR","20.00","2026-09-01","settled","R-COST-75-1"
"M-COST-75-2","COST-75-2","EMP-11","T75","EUR","15.00","2026-09-01","settled","R-COST-75-2"
"M-COST-76-1","COST-76-1","EMP-11","T76","EUR","25.00","2026-09-01","settled","R-COST-76-1"
"M-COST-76-2","COST-76-2","EMP-11","T76","EUR","20.00","2026-09-01","settled","R-COST-76-2"
"M-COST-77-1","COST-77-1","EMP-11","T77","EUR","40.00","2026-09-01","settled","R-COST-77-1"
"M-COST-77-2","COST-77-2","EMP-11","T77","EUR","15.00","2026-09-01","settled","R-COST-77-2"
"M-COST-78-1","COST-78-1","EMP-11","T78","EUR","35.00","2026-09-01","settled","R-COST-78-1"
"M-COST-78-2","COST-78-2","EMP-11","T78","EUR","30.00","2026-09-01","settled","R-COST-78-2"
"M-COST-79-1","COST-79-1","EMP-11","T79","EUR","60.00","2026-09-01","settled","R-COST-79-1"
"M-COST-79-2","COST-79-2","EMP-11","T79","EUR","15.00","2026-09-01","settled","R-COST-79-2"
"M-COST-80-1","COST-80-1","EMP-11","T80","EUR","50.00","2026-09-01","settled","R-COST-80-1"
"M-COST-80-2","COST-80-2","EMP-11","T80","EUR","35.00","2026-09-01","settled","R-COST-80-2"
"M-COST-81-1","COST-81-1","EMP-12","T81","EUR","20.00","2026-09-01","settled","R-COST-81-1"
"M-COST-81-2","COST-81-2","EMP-12","T81","EUR","15.00","2026-09-01","settled","R-COST-81-2"
