"People","","","","","","","","",""
"Synthetic business records. SRC-D-3.","","","","","","","","",""
"Dates are local calendar dates. Amounts follow the stated currency. Empty optional entries are blank.","","","","","","","","",""
"Employee ID","Department","Project","Budget period","Payee ID","Administration reviewer","Budget owner","Supervisor","Director","Finance officer"
"EMP-01","Consulting","Client-A","2026","EMP-01","ADMIN-01","LEAD-01","SUP-01","DIR-01","FIN-01"
"EMP-02","Consulting","Client-A","2026","EMP-02","ADMIN-01","LEAD-01","LEAD-01","DIR-01","FIN-01"
"EMP-03","Consulting","Client-A","2026","EMP-03","ADMIN-01","LEAD-01","SUP-01","DIR-01","FIN-01"
"EMP-04","Consulting","Client-A","2026","EMP-04","ADMIN-01","LEAD-01","LEAD-01","DIR-01","FIN-01"
"EMP-05","Consulting","Client-A","2026","EMP-05","ADMIN-01","LEAD-01","SUP-01","DIR-01","FIN-01"
"EMP-06","Consulting","Client-A","2026","EMP-06","ADMIN-01","LEAD-01","LEAD-01","DIR-01","FIN-01"
"EMP-07","Consulting","Client-A","2026","EMP-07","ADMIN-01","LEAD-01","SUP-01","DIR-01","FIN-01"
"EMP-08","Consulting","Client-A","2026","EMP-08","ADMIN-01","LEAD-01","LEAD-01","DIR-01","FIN-01"
"EMP-09","Consulting","Client-A","2026","EMP-09","ADMIN-01","LEAD-01","SUP-01","DIR-01","FIN-01"
"EMP-10","Consulting","Client-A","2026","EMP-10","ADMIN-01","LEAD-01","LEAD-01","DIR-01","FIN-01"
"EMP-11","Consulting","Client-A","2026","EMP-11","ADMIN-01","LEAD-01","SUP-01","DIR-01","FIN-01"
"EMP-12","Consulting","Client-A","2026","EMP-12","ADMIN-01","LEAD-01","LEAD-01","DIR-01","FIN-01"
"EMP-13","Consulting","Client-A","2026","EMP-13","ADMIN-01","LEAD-01","SUP-01","DIR-01","FIN-01"
"EMP-14","Consulting","Client-A","2026","EMP-14","ADMIN-01","LEAD-01","LEAD-01","DIR-01","FIN-01"
