"Finance activity Synthetic business records. SRC-D-3. Null monetary entries are blank. Zero is 0.00. Arrival batch differs from the activity time. Activity reference","Arrival batch","Activity type","Request reference","Claim reference","Finance officer","Payee ID","Currency","Amount (EUR)","Original activity reference","Obligation (EUR)","Reason","Activity time (UTC)"
"F-C01-1","2","settled","REQ-C01","C01","FIN-01","EMP-01","EUR","100.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C02-1","2","settled","REQ-C02","C02","FIN-01","EMP-01","EUR","540.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C03-1","2","settled","REQ-C03","C03","FIN-01","EMP-01","EUR","200.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C04-1","2","settled","REQ-C04","C04","FIN-01","EMP-02","EUR","100.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C05-1","2","settled","REQ-C05","C05","FIN-01","EMP-01","EUR","1,000.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C06-1","2","settled","REQ-C06","C06","FIN-01","EMP-01","EUR","1,000.01","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C07-1","2","settled","REQ-C07","C07","FIN-01","EMP-01","EUR","300.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C11-1","2","settled","REQ-C11","C11","FIN-01","EMP-01","EUR","60.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C16-1","2","settled","REQ-C16","C16","FIN-01","EMP-01","EUR","40.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C16-2","3","settled","REQ-C16","C16","FIN-01","EMP-01","EUR","60.00","","","Finance confirmed settled","2026-09-13 12:00:00 UTC"
"F-C17-1","2","failed","REQ-C17","C17","FIN-01","EMP-01","EUR","","","","Finance confirmed failed","2026-09-12 12:00:00 UTC"
"F-C17-2","3","retry_authorized","REQ-C17","C17","FIN-01","EMP-01","EUR","","","","Finance confirmed retry_authorized","2026-09-13 12:00:00 UTC"
"F-C17-3","4","settled","REQ-C17","C17","FIN-01","EMP-01","EUR","100.00","","","Finance confirmed settled","2026-09-14 12:00:00 UTC"
"F-C18-1","2","cancellation_requested","REQ-C18","C18","FIN-01","EMP-01","EUR","","","","Finance confirmed cancellation_requested","2026-09-12 12:00:00 UTC"
"F-C18-2","3","cancelled","REQ-C18","C18","FIN-01","EMP-01","EUR","","","","Finance confirmed cancelled","2026-09-13 12:00:00 UTC"
"F-C18-3","4","settled","REQ-C18","C18","FIN-01","EMP-01","EUR","100.00","","","Finance confirmed settled","2026-09-14 12:00:00 UTC"
"F-C19-1","2","settled","REQ-C19","C19","FIN-01","EMP-01","EUR","100.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C19-2","3","adjustment","REQ-C19","C19","FIN-01","EMP-01","EUR","","","80.00","Finance confirmed adjustment","2026-09-13 12:00:00 UTC"
"F-C19-3","4","refund","REQ-C19","C19","FIN-01","EMP-01","EUR","20.00","F-C19-1","","Finance confirmed refund","2026-09-14 12:00:00 UTC"
