"Review ledger Synthetic business records. SRC-D-3. Ordered references appear on separate lines. Empty optional entries are blank. Review packets preserve the facts seen at the time. Decision reference","Arrival batch","Subject type","Subject reference","Revision","Review roles","Reviewer","Outcome","Reason","Repair requested","Source revisions","Affected fields","Decision time (UTC)"
"D-C01-1-claim-administration-1","1","claim","C01","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C01-1-claim-budget_owner-1","1","claim","C01","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C01-1-claim-supervisor-1","1","claim","C01","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C02-1-permit-administration-1","1","permit","P02","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-08-31 12:00:00 UTC"
"D-C02-1-permit-budget_owner-1","1","permit","P02","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-08-31 12:00:00 UTC"
"D-C02-1-permit-supervisor-1","1","permit","P02","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-08-31 12:00:00 UTC"
"D-C02-1-permit-director-1","1","permit","P02","1","director","DIR-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-08-31 12:00:00 UTC"
"D-C02-1-claim-administration-1","1","claim","C02","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C02-1-claim-budget_owner-1","1","claim","C02","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C02-1-claim-supervisor-1","1","claim","C02","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C03-1-claim-administration-1","1","claim","C03","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C03-1-claim-budget_owner-1","1","claim","C03","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C03-1-claim-supervisor-1","1","claim","C03","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C04-1-claim-administration-1","1","claim","C04","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C04-1-claim-budget_owner-supervisor-1","1","claim","C04","1","budget_owner
supervisor","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C05-1-claim-administration-1","1","claim","C05","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C05-1-claim-budget_owner-1","1","claim","C05","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C05-1-claim-supervisor-1","1","claim","C05","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
